Out:  F0  7E  7F  06  01  F7  |  Sysex mode engage
 In:  F0  7E  7F  06  02  00  20  6B  02  00  05  52  61  06  01  01  F7  |  Sysex mode engaged
     [      sysex preamble  ][sc][ch][set cid va][en]
Out:  F0  00  20  6B  7F  42  02  03  01  70  07  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  11  70  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  12  70  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  13  70  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  70  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  70  24  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  70  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  70  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  70  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  70  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  71  07  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  11  71  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  12  71  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  13  71  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  71  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  71  25  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  71  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  71  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  71  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  71  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  72  07  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  11  72  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  12  72  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  13  72  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  72  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  72  26  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  72  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  72  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  72  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  72  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  73  07  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  11  73  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  12  73  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  13  73  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  73  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  73  27  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  73  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  73  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  73  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  73  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  74  07  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  11  74  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  12  74  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  13  74  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  74  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  74  28  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  74  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  74  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  74  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  74  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  75  07  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  11  75  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  12  75  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  13  75  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  75  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  75  29  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  75  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  75  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  75  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  75  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  76  07  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  11  76  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  12  76  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  13  76  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  76  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  76  2A  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  76  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  76  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  76  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  76  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  77  07  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  11  77  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  12  77  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  13  77  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  77  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  77  2B  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  77  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  77  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  77  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  77  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  01  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  01  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  01  4A  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  01  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  01  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  01  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  01  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  01  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  40  19  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  1A  08  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  1A  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  1A  14  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  1A  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  1A  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  40  1A  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  1A  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  1A  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  1B  08  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  1B  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  1B  15  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  1B  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  1B  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  1B  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  1B  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  1C  08  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  1C  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  1C  16  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  1C  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  1C  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  1C  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  1C  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  02  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  02  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  02  47  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  02  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  02  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  02  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  02  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  02  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  03  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  03  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  03  4C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  03  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  03  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  03  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  03  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  03  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  30  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  14  30  40  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  15  30  40  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  04  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  04  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  04  4D  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  04  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  04  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  04  7F  F7  |  Sysex
